tweet_id,timestamp
959740_16,2022-04-02 18:41:08+00:00
959740_17,2022-04-02 18:46:09+00:00
959740_18,2022-04-02 18:54:25+00:00
959740_19,2022-04-02 18:57:56+00:00
959740_20,2022-04-02 19:03:21+00:00
959740_21,2022-04-02 19:22:53+00:00
959740_22,2022-04-02 19:23:46+00:00
959740_23,2022-04-02 19:33:06+00:00
959740_24,2022-04-02 19:36:36+00:00
959740_25,2022-04-02 19:38:25+00:00
959740_26,2022-04-02 19:40:40+00:00
959740_27,2022-04-02 19:48:53+00:00
959740_28,2022-04-02 19:55:46+00:00
959740_29,2022-04-02 20:29:48+00:00
959740_30,2022-04-02 20:35:37+00:00
959740_31,2022-04-02 20:50:19+00:00
959740_32,2022-04-02 21:26:07+00:00
959740_33,2022-04-02 21:27:55+00:00
959740_34,2022-04-02 21:38:36+00:00
959740_35,2022-04-02 21:46:15+00:00
959740_36,2022-04-02 22:15:52+00:00
959740_37,2022-04-02 22:21:03+00:00
959740_38,2022-04-02 22:34:22+00:00
959740_39,2022-04-02 22:45:17+00:00
959740_40,2022-04-02 22:57:16+00:00
959740_41,2022-04-02 23:37:42+00:00
959740_42,2022-04-02 23:53:53+00:00
959740_43,2022-04-03 00:08:30+00:00
959740_44,2022-04-03 00:24:41+00:00
959740_45,2022-04-03 00:24:48+00:00
959740_46,2022-04-03 00:39:42+00:00
959740_47,2022-04-03 00:46:18+00:00
959740_48,2022-04-03 01:01:20+00:00
959740_49,2022-04-03 01:01:31+00:00
959740_50,2022-04-03 01:07:38+00:00
959740_51,2022-04-03 01:40:10+00:00
959740_52,2022-04-03 01:43:21+00:00
959740_53,2022-04-03 01:47:10+00:00
959740_54,2022-04-03 02:02:33+00:00
959740_55,2022-04-03 02:04:38+00:00
959740_56,2022-04-03 02:13:52+00:00
959740_57,2022-04-03 02:18:44+00:00
959740_58,2022-04-03 02:18:50+00:00
959740_59,2022-04-03 02:22:25+00:00
959740_60,2022-04-03 02:24:28+00:00
959740_61,2022-04-03 02:42:35+00:00
959740_62,2022-04-03 02:44:16+00:00
959740_63,2022-04-03 03:04:38+00:00
959740_64,2022-04-03 03:24:26+00:00
959740_65,2022-04-03 03:35:15+00:00
959740_66,2022-04-03 03:41:52+00:00
959740_67,2022-04-03 04:25:53+00:00
959740_68,2022-04-03 04:29:20+00:00
959740_69,2022-04-03 04:54:39+00:00
959740_70,2022-04-03 05:20:45+00:00
959740_71,2022-04-03 05:25:06+00:00
959740_72,2022-04-03 05:43:13+00:00
959740_73,2022-04-03 05:58:07+00:00
959740_74,2022-04-03 06:00:26+00:00
959740_75,2022-04-03 06:02:52+00:00
959740_76,2022-04-03 06:09:40+00:00
959740_77,2022-04-03 06:13:46+00:00
959740_78,2022-04-03 06:21:26+00:00
959740_79,2022-04-03 06:38:01+00:00
959740_80,2022-04-03 06:45:29+00:00
959740_81,2022-04-03 06:47:53+00:00
959740_82,2022-04-03 06:53:51+00:00
959740_83,2022-04-03 07:14:01+00:00
959740_84,2022-04-03 07:18:25+00:00
959740_85,2022-04-03 07:22:57+00:00
959740_86,2022-04-03 07:27:33+00:00
959740_87,2022-04-03 08:11:46+00:00
959740_88,2022-04-03 08:42:06+00:00
959740_89,2022-04-03 08:43:39+00:00
959740_90,2022-04-03 08:46:19+00:00
959740_91,2022-04-03 09:15:51+00:00
959740_92,2022-04-03 09:27:29+00:00
959740_93,2022-04-03 09:38:21+00:00
959740_94,2022-04-03 10:03:46+00:00
959740_95,2022-04-03 10:06:19+00:00
959740_96,2022-04-03 10:38:03+00:00
959740_97,2022-04-03 10:47:25+00:00
959740_98,2022-04-03 10:47:42+00:00
959740_99,2022-04-03 10:49:01+00:00
959740_100,2022-04-03 10:49:19+00:00
959740_101,2022-04-03 10:53:53+00:00
959740_102,2022-04-03 10:56:34+00:00
959740_103,2022-04-03 11:13:30+00:00
959740_104,2022-04-03 11:18:00+00:00
959740_105,2022-04-03 11:27:06+00:00
959740_106,2022-04-03 11:27:47+00:00
959740_107,2022-04-03 11:46:26+00:00
959740_108,2022-04-03 12:00:53+00:00
959740_109,2022-04-03 12:01:22+00:00
959740_110,2022-04-03 12:03:09+00:00
959740_111,2022-04-03 12:15:04+00:00
959740_112,2022-04-03 12:22:52+00:00
959740_113,2022-04-03 12:44:20+00:00
959740_114,2022-04-03 12:48:59+00:00
959740_115,2022-04-03 13:27:26+00:00
959740_116,2022-04-03 13:28:58+00:00
959740_117,2022-04-03 13:34:45+00:00
959740_118,2022-04-03 13:34:47+00:00
959740_119,2022-04-03 13:34:52+00:00
959740_120,2022-04-03 13:38:30+00:00
959740_121,2022-04-03 13:39:46+00:00
959740_122,2022-04-03 13:55:23+00:00
959740_123,2022-04-03 13:56:09+00:00
959740_124,2022-04-03 14:02:11+00:00
959740_125,2022-04-03 14:04:51+00:00
959740_126,2022-04-03 14:20:10+00:00
959740_127,2022-04-03 14:23:00+00:00
959740_128,2022-04-03 14:23:23+00:00
959740_129,2022-04-03 14:50:52+00:00
959740_130,2022-04-03 15:14:40+00:00
959740_131,2022-04-03 15:33:18+00:00
959740_132,2022-04-03 15:34:05+00:00
959740_133,2022-04-03 15:43:01+00:00
959740_134,2022-04-03 15:44:47+00:00
959740_135,2022-04-03 15:53:38+00:00
959740_136,2022-04-03 16:08:03+00:00
959740_137,2022-04-03 16:32:45+00:00
959740_138,2022-04-03 16:57:13+00:00
959740_139,2022-04-03 17:03:08+00:00
959740_140,2022-04-03 17:15:45+00:00
959740_141,2022-04-03 18:23:40+00:00
959740_142,2022-04-03 19:01:27+00:00
959740_143,2022-04-03 19:23:34+00:00
959740_144,2022-04-03 19:33:58+00:00
959740_145,2022-04-03 19:35:12+00:00
959740_146,2022-04-03 19:35:41+00:00
959740_147,2022-04-03 20:10:14+00:00
959740_148,2022-04-03 21:06:03+00:00
959740_149,2022-04-03 21:24:39+00:00
959740_150,2022-04-03 22:58:07+00:00
959740_151,2022-04-03 23:41:33+00:00
959740_152,2022-04-04 00:58:13+00:00
959740_153,2022-04-04 01:17:03+00:00
959740_154,2022-04-04 02:47:25+00:00
959740_155,2022-04-04 03:16:30+00:00
